title,vendor,product_type,price,sku,created_at,shape,foam,game_level,frame,surface,color,racket_type,balance,gender,weight
Raquette de padel Bullpadel Elite Woman Tour Final LTD 2026,Bullpadel,Raquettes,299.9,11202,2025-10-14 09:14:14+00:00,forme,mousse,,carbon,,,,,,weight
Raquette de padel Bullpadel Vertex 05 Tour Final LTD 2026,Bullpadel,Raquettes,389.9,11198,2025-10-13 14:46:03+00:00,forme,mousse,,carbone,,,,,,weight
Raquette de padel Bullpadel Neuron 02 Edge Tour Final LTD 2026,Bullpadel,Raquettes,389.9,11201,2025-10-14 08:55:49+00:00,forme,mousse,,carbone,,,,,,weight
Raquette de padel Bullpadel Vertex Advance 2026,Bullpadel,Raquettes,139.9,11205,2025-10-14 12:40:27+00:00,forme,mousse,,carbone,,noir,,,,poids
Raquette de padel Bullpadel Hack 02 Advance 2026,Bullpadel,Raquettes,124.9,11204,2025-10-14 12:40:22+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Nox AT10 Pro Cup Hard 2025,Nox,Raquettes,139.9,7986,2024-09-24 13:42:05+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Osaka Pro Tour LTD Control 2026,Osaka,Raquettes,299.9,10698,2025-07-23 10:30:16+00:00,forme,foam,,carbone,,noir,,,,
Raquette de padel Osaka Raul Marcos Pro Power 2026,Osaka,Raquettes,219.9,10697,2025-07-23 10:30:12+00:00,forme,foam,,carbone,sablée,,,,,
Raquette de padel Osaka Vision Pro Control 2026,Osaka,Raquettes,199.9,10696,2025-07-23 10:30:08+00:00,forme,foam,,carbone,sablée,noir,,,,
Raquette de padel Osaka Vision Pro Power 2026,Osaka,Raquettes,199.9,10695,2025-07-23 10:30:05+00:00,forme,foam,,carbone,sand,noir,,,,
Raquette de padel Osaka Vision Control 2026,Osaka,Raquettes,129.9,10694,2025-07-23 10:30:01+00:00,forme,foam,,carbone,sablée,,,,,
Raquette de padel Osaka Vision Power 2026,Osaka,Raquettes,129.9,10693,2025-07-23 10:29:58+00:00,forme,foam,,carbone,sablée,bleu,,,,
Raquette de padel Osaka Pro Tour LTD Power 2026,Osaka,Raquettes,299.9,10692,2025-07-23 10:29:53+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Head Xenon 2025,Head,Raquettes,59.9,11959,2025-12-18 10:19:19+00:00,forme,foam,,carbone,,noir,,,,poids
Raquette de padel Royal Padel M27 Light 2026,Royal Padel,Raquettes,349.9,11940,2025-12-16 16:26:53+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Royal Padel M27 Poly 2026,Royal Padel,Raquettes,349.9,11939,2025-12-16 15:51:51+00:00,forme,,,carbone,,,,,,poids
Raquette de padel Wilson Bela LS V3 2025,Wilson,Raquettes,169.9,10358,2025-06-05 07:57:51+00:00,forme,foam,,carbone,,rouge,,,,poids
Raquette de padel Head Extreme One,Head,Raquettes,159.9,5209,2023-09-01 11:59:09+00:00,forme,foam,,carbone,,,,,,poids
Raquette de padel Adidas Cross It Control 3.4 2025,Adidas,Raquettes,204.9,8588,2024-11-25 10:47:17+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Pro Kennex Black Ace Bleu,Pro Kennex,Raquettes,349.9,11936,2025-12-08 13:46:22+00:00,forme,foam,,carbone,,bleu,,,,
Raquette de padel Pro Kennex Black Ace Rouge,Pro Kennex,Raquettes,349.9,11935,2025-12-08 13:13:46+00:00,forme,foam,,carbone,,rouge,,,,
Raquette de padel Siux Fenix Pro VI Black Edition by Leo Augsburger 2026,Siux,Raquettes,349.9,11333,2025-10-24 08:33:52+00:00,forme,mousse,,carbone,,,,,,poids
RAQUETTE DE TEST - Raquette de padel Babolat Veron 3.0 Juan Lebron 2026,Babolat,Programme test,150.0,11934,2025-12-08 10:34:51+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Babolat Viper Soft 3.0 Juan Lebron 2026,Babolat,Programme test,150.0,11933,2025-12-08 10:31:57+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Babolat Viper Juan Lebron 3.0 2026,Babolat,Programme test,150.0,11932,2025-12-08 10:04:31+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Ionic Light 2026,Bullpadel,Programme test,150.0,11612,2025-11-14 15:41:26+00:00,,,,,,,,,,
Raquette de padel Dunlop Galactica OS 2025,Dunlop,Raquettes,214.9,11510,2025-11-05 10:16:49+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Dunlop Galactica OS Lite 2025,Dunlop,Raquettes,189.9,11511,2025-11-05 10:11:47+00:00,forme,mousse,,carbone,,noir,,,,poids
Raquette de padel Royal Padel Junior 2026,Royal Padel,Raquettes,79.9,11899,2025-12-04 10:30:03+00:00,forme,,,,,,,,,poids
Raquette de padel Royal Padel Control 2026,Royal Padel,Raquettes,349.9,11894,2025-12-04 09:01:17+00:00,,mousse,,carbone,,white,polyvalente,,,
Raquette de padel Royal Padel R-Ace 2026,Royal Padel,Raquettes,349.9,11893,2025-12-04 08:21:01+00:00,forme,mousse,,carbone,sablée,,,,,poids
Raquette de padel Royal Padel Fury 2026,Royal Padel,Raquettes,349.9,11892,2025-12-04 08:16:53+00:00,,mousse,,carbone,,,attaque,,,
Raquette de padel Royal Padel 130 Factor 2026,Royal Padel,Raquettes,99.9,11895,2025-12-04 09:25:39+00:00,forme,mousse,,,,,,,,
Raquette de padel Dunlop FX Junior 2026,Dunlop,Raquettes,64.9,11574,2025-11-06 09:45:10+00:00,forme,mousse,,,,,,,,
Raquette de padel Dunlop FX Start 2026,Dunlop,Raquettes,79.9,11570,2025-11-06 07:42:33+00:00,forme,mousse,,,,noir,polyvalente,,,
Raquette de padel Dunlop FX Team 2026,Dunlop,Raquettes,159.9,11569,2025-11-05 16:18:18+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Dunlop FX Lite 2026,Dunlop,Raquettes,224.9,11566,2025-11-05 15:02:53+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Dunlop FX Pro 2026,Dunlop,Raquettes,269.9,11565,2025-11-05 14:55:27+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Head Radical Team Light 2026,Head,Raquettes,149.9,11620,2025-11-17 10:34:28+00:00,forme,foam,,,,,,,,poids
Raquette de padel Head Radical Team 2026,Head,Raquettes,179.9,11619,2025-11-17 10:09:53+00:00,,foam,,carbone,,,,,,poids
Raquette de padel Head Radical Motion 2026,Head,Raquettes,199.9,11618,2025-11-17 09:11:39+00:00,forme,foam,,carbone,,,,,,poids
Raquette de padel Head Radical Pro 2026,Head,Raquettes,239.9,11617,2025-11-17 08:35:40+00:00,forme,foam,,carbone,,,,,,poids
Raquette de padel Oxdog Pure Court 2026,Oxdog,Raquettes,149.9,11882,2025-12-03 08:40:49+00:00,forme,foam,,carbone,,,polyvalente,balance,,poids
Raquette de padel Oxdog Pure Tour X 2026,Oxdog,Raquettes,249.9,11881,2025-12-03 08:24:23+00:00,forme,foam,,carbone,,,,balance,,poids
Raquette de padel Oxdog Pure Pro + 2026,Oxdog,Raquettes,299.9,11880,2025-12-03 07:28:44+00:00,forme,foam,,carbone,sablée,,,balance,,poids
Raquette de padel Oxdog Hyper Tour X 2.0 2026,Oxdog,Raquettes,249.9,11879,2025-12-02 16:07:21+00:00,,,,carbone,,,polyvalente,balance,,poids
Raquette de padel Oxdog Hyper Pro 2.0 2026,Oxdog,Raquettes,309.9,11878,2025-12-02 15:17:26+00:00,forme,foam,,carbone,,,attaque,balance,,poids
Raquette de padel Oxdog Hyper Pro+ 2.0 2026,Oxdog,Raquettes,319.9,11877,2025-12-02 15:10:41+00:00,forme,foam,,carbone,sablée,,,balance,,poids
Raquette de padel Oxdog Ultimate Nxt Gen 2026,Oxdog,Raquettes,179.9,11876,2025-12-02 14:56:10+00:00,forme,foam,,carbone,,white,,balance,,poids
Raquette de padel Oxdog Ultimate Tour X 2026,Oxdog,Raquettes,259.9,11875,2025-12-02 14:23:20+00:00,forme,foam,,carbone,sablée,,,balance,,poids
Raquette de padel Oxdog Ultimate Pro Smash 2026,Oxdog,Raquettes,329.9,11874,2025-12-02 14:15:09+00:00,forme,mousse,,carbone,,,,balance,,poids
Raquette de padel Oxdog Ultimate Pro 2026,Oxdog,Raquettes,329.9,11873,2025-12-02 13:26:08+00:00,forme,foam,,carbone,,,,balance,,poids
Raquette de padel Oxdog Ultimate Pro + 2026,Oxdog,Raquettes,339.9,11871,2025-12-02 11:22:59+00:00,forme,foam,,carbone,,,,balance,,poids
Raquette de padel Oxdog Ultimate Pro Light 2026,Oxdog,Raquettes,319.9,10800,2025-08-21 08:32:18+00:00,forme,mousse,,carbone,,,,balance,,poids
Raquette de padel Head Flash Pro 2.0,Head,Raquettes,79.9,5801,2023-10-26 15:13:08+00:00,forme,foam,,carbone,,,polyvalente,,,
Raquette de padel Oxdog Sense Pro 2025,Oxdog,Raquettes,239.9,8508,2024-11-18 14:35:05+00:00,forme,mousse,,carbone,sablée,,attaque,balance,,poids
